epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2228.28,1.60425,0.8078,0.99526,0.94796,0.89859,0.93459,0.50745,1.45759,0.66707,0.97653,0.001076,0.001076,0.001076
72,2259.63,1.61082,0.82248,1.0169,0.91024,0.89238,0.93502,0.49357,1.47696,0.70876,0.97412,0.0010628,0.0010628,0.0010628
73,2290.98,1.60304,0.82846,1.02094,0.93199,0.9148,0.93807,0.5195,1.43953,0.67214,0.97223,0.0010496,0.0010496,0.0010496
74,2322.36,1.58215,0.8011,0.99745,0.93136,0.91928,0.9309,0.51926,1.45549,0.68461,0.98751,0.0010364,0.0010364,0.0010364
75,2353.76,1.5972,0.81826,0.99953,0.92266,0.90945,0.937,0.52299,1.45451,0.68305,0.97276,0.0010232,0.0010232,0.0010232
76,2385.12,1.56727,0.79868,0.9997,0.91358,0.90075,0.92675,0.50665,1.44689,0.67766,0.95049,0.00101,0.00101,0.00101
77,2416.49,1.58436,0.80747,1.00452,0.92411,0.93274,0.93651,0.51214,1.45499,0.66476,0.97335,0.0009968,0.0009968,0.0009968
78,2447.86,1.5552,0.79195,1.00834,0.94561,0.93553,0.94196,0.51603,1.47629,0.68108,0.97144,0.0009836,0.0009836,0.0009836
79,2479.23,1.56193,0.80056,0.99931,0.92119,0.91928,0.93864,0.52423,1.42511,0.68919,0.96379,0.0009704,0.0009704,0.0009704
80,2510.61,1.56167,0.78808,0.99152,0.92354,0.9148,0.94354,0.52183,1.46354,0.65971,0.97312,0.0009572,0.0009572,0.0009572
81,2541.97,1.55586,0.77476,1.00403,0.90332,0.90583,0.94433,0.52186,1.45582,0.68539,0.9756,0.000944,0.000944,0.000944
82,2573.32,1.54501,0.77891,0.99385,0.93601,0.92825,0.94591,0.51918,1.44244,0.66785,0.96376,0.0009308,0.0009308,0.0009308
83,2604.68,1.54262,0.7803,1.00375,0.91319,0.88789,0.93325,0.50658,1.44245,0.68071,0.96337,0.0009176,0.0009176,0.0009176
84,2636.06,1.5341,0.78652,0.98533,0.91462,0.90583,0.9332,0.51986,1.40688,0.67531,0.95781,0.0009044,0.0009044,0.0009044
85,2667.41,1.56066,0.77608,0.99806,0.92826,0.91928,0.94419,0.50595,1.48641,0.68029,0.98232,0.0008912,0.0008912,0.0008912
86,2698.77,1.53415,0.78184,0.98777,0.94437,0.91354,0.94426,0.52206,1.43807,0.67746,0.9818,0.000878,0.000878,0.000878
87,2730.13,1.53459,0.74923,0.98587,0.92669,0.90689,0.93821,0.52617,1.44046,0.65544,0.96301,0.0008648,0.0008648,0.0008648
88,2761.5,1.54349,0.75965,0.9845,0.91345,0.9148,0.93882,0.51582,1.48289,0.66668,0.98554,0.0008516,0.0008516,0.0008516
89,2792.86,1.54961,0.77817,0.99124,0.89912,0.91921,0.93905,0.52609,1.4081,0.65125,0.96922,0.0008384,0.0008384,0.0008384
90,2824.22,1.50096,0.7407,0.98348,0.9217,0.94619,0.96364,0.51889,1.48056,0.64581,0.98646,0.0008252,0.0008252,0.0008252
91,2855.6,1.50558,0.762,0.97758,0.92111,0.92377,0.94189,0.52277,1.44101,0.65364,0.97256,0.000812,0.000812,0.000812
92,2886.93,1.50265,0.73035,0.98222,0.90275,0.91582,0.92816,0.52467,1.44932,0.65842,0.96833,0.0007988,0.0007988,0.0007988
93,2918.26,1.51988,0.75295,0.99028,0.91497,0.9148,0.93307,0.52183,1.44227,0.66066,0.96974,0.0007856,0.0007856,0.0007856
94,2949.64,1.54085,0.76084,0.97804,0.9205,0.9346,0.94602,0.5245,1.43583,0.65594,0.9694,0.0007724,0.0007724,0.0007724
95,2980.98,1.49353,0.74047,0.98456,0.94873,0.91275,0.95453,0.53224,1.42704,0.65223,0.95974,0.0007592,0.0007592,0.0007592
96,3012.45,1.49736,0.73588,0.97755,0.93366,0.93274,0.94333,0.51408,1.46813,0.66116,0.97402,0.000746,0.000746,0.000746
